ls,date,n_sessions,grams_total,duration_min_total,rate_median,n_refills,grams_refilled,temperature,moisture
LS1,2025-07-15,11,7209.955139988576,110,35.34291735288517,0.0,0.0,37.94,21.88
LS1,2025-07-16,23,14490.59611468292,230,28.274333882308134,1.0,24103.869634667688,38.262499999999996,20.90625
LS1,2025-07-17,27,9825.331024102079,270,28.274333882308134,0.0,0.0,38.92916666666667,19.058333333333334
LS1,2025-07-18,23,9542.587685278997,230,35.34291735288517,1.0,6715.154297048182,36.141666666666666,23.770833333333332
LS1,2025-07-19,31,10320.13186704247,310,21.205750411731103,1.0,7139.269305282804,33.643750000000004,28.633333333333336
LS1,2025-07-20,23,10814.932709982862,230,35.34291735288517,1.0,10602.875205865552,33.885416666666664,30.87708333333333
LS1,2025-07-21,24,8906.415172927063,240,21.205750411731103,1.0,7280.640974694346,34.82083333333333,25.304166666666664
LS1,2025-07-22,24,16823.22865997334,240,60.08295949990479,1.0,22478.09543643497,36.00833333333333,22.43541666666667
LS1,2025-07-23,21,10249.4460323367,210,35.34291735288517,1.0,5089.380098815465,35.68333333333333,26.695833333333336
LS1,2025-07-24,18,5725.552611167398,180,14.137166941154067,1.0,3817.035074111599,33.297916666666666,25.96666666666667
LS1,2025-07-25,28,13430.308594096365,280,35.34291735288517,1.0,7209.955139988575,34.333333333333336,25.087500000000002
LS1,2025-07-26,20,7139.269305282804,200,35.34291735288517,1.0,8835.729338221294,35.639583333333334,25.104166666666668
LS1,2025-07-27,18,3322.2342311712064,180,14.137166941154067,0.0,0.0,36.731249999999996,22.71666666666667
LS1,2025-07-28,18,10108.07436292516,180,38.877209088173686,1.0,3887.720908817369,34.737500000000004,25.610416666666666
LS1,2025-07-29,22,10178.760197630929,220,45.945792558750725,1.0,10178.76019763093,34.458333333333336,26.629166666666666
LS1,2025-07-30,19,7209.955139988575,190,21.205750411731103,1.0,5018.694264109694,35.52291666666667,26.054166666666664
LS1,2025-07-31,11,4241.150082346221,110,35.34291735288517,0.0,0.0,36.64791666666667,25.020833333333332
LS1,2025-08-01,20,12935.507751155974,200,49.480084294039244,1.0,13288.936924684824,36.65625,23.085416666666664
LS1,2025-08-02,28,18943.80370114645,280,49.48008429403924,2.0,13218.251089979054,37.03541666666667,24.660416666666666
LS1,2025-08-03,33,25588.272163488866,337,56.54866776461628,1.0,24740.04214701962,37.581250000000004,22.260416666666668
LS1,2025-08-04,23,12723.450247038661,230,42.411500823462205,1.0,18024.88784997144,38.452083333333334,19.92291666666667
LS1,2025-08-05,23,10249.4460323367,230,21.205750411731103,1.0,6927.211801165494,39.016666666666666,20.641666666666666
LS1,2025-08-06,9,5372.123437638546,90,56.54866776461628,1.0,11804.534395863648,35.32692307692308,31.476923076923075
LS5,2025-07-15,13,5301.437602932776,130,42.411500823462205,0.0,0.0,39.05384615384615,26.02692307692308
LS5,2025-07-16,25,7422.0126441058865,250,21.205750411731103,1.0,5654.866776461628,37.63333333333333,22.958333333333332
LS5,2025-07-17,22,8482.300164692442,220,28.274333882308134,1.0,5513.495107050087,39.625,17.702083333333334
LS5,2025-07-18,23,10178.760197630929,230,14.137166941154067,2.0,9047.786842338604,36.512499999999996,22.59583333333333
LS5,2025-07-19,23,10178.760197630929,230,35.34291735288517,1.0,7068.583470577034,33.987500000000004,27.604166666666668
LS5,2025-07-20,20,7068.583470577034,200,21.205750411731103,1.0,5937.6101152847095,33.49791666666667,30.479166666666668
LS5,2025-07-21,25,14349.22444527138,250,35.34291735288517,2.0,13430.308594096365,34.670833333333334,25.295833333333334
LS5,2025-07-22,22,10673.561040571321,220,21.205750411731103,1.0,15621.569469975248,35.92916666666667,21.381249999999998
LS5,2025-07-23,13,9330.530181161685,130,35.34291735288517,0.0,0.0,36.297916666666666,28.193749999999998
LS5,2025-07-24,20,6927.211801165494,200,17.671458676442583,1.0,8128.87099116359,33.39791666666667,29.25
LS5,2025-07-25,21,9825.331024102077,210,28.274333882308134,1.0,8835.729338221294,33.75833333333333,28.65625
LS5,2025-07-26,19,10390.817701748241,190,28.274333882308134,1.0,6997.897635871264,34.91914893617022,28.821276595744678
LS5,2025-07-27,18,5796.2384458731685,180,17.671458676442583,0.0,0.0,35.46458333333333,25.24791666666667
LS5,2025-07-28,20,9966.702693513618,200,17.671458676442583,0.0,0.0,35.329166666666666,29.7625
LS5,2025-07-29,24,15197.454461740625,240,21.205750411731103,2.0,15974.9986435041,34.6,29.90625
LS5,2025-07-30,16,3675.663404700058,160,14.137166941154067,0.0,0.0,34.59795918367347,28.246938775510202
LS5,2025-07-31,16,5866.924280578939,160,21.205750411731103,0.0,0.0,35.90208333333333,27.943749999999998
LS5,2025-08-01,19,12794.136081744433,190,21.205750411731103,1.0,14066.481106448298,36.06666666666667,25.631249999999998
LS5,2025-08-02,18,16469.79948644449,180,35.342917352885166,1.0,4523.893421169302,36.50833333333333,27.91875
LS5,2025-08-03,24,17035.286164090652,240,28.274333882308134,1.0,18661.06036232337,36.860416666666666,26.114583333333332
LS5,2025-08-04,18,13995.795271742529,180,38.877209088173686,1.0,16823.22865997334,37.739583333333336,21.145833333333332
LS5,2025-08-05,15,11451.105222334796,150,49.48008429403924,1.0,5796.238445873168,39.824999999999996,21.858333333333334
LS5,2025-08-06,8,5654.8667764616275,80,35.342917352885166,1.0,4453.207586463532,35.76,31.14
